class,accuracy
BACKGROUND_Google,0.8857142857142857
Faces,1.0
Faces_easy,1.0
Leopards,1.0
Motorbikes,1.0
accordion,1.0
airplanes,1.0
anchor,0.6666666666666666
ant,0.8333333333333334
barrel,0.8571428571428571
bass,0.875
beaver,0.7142857142857143
binocular,0.8
bonsai,1.0
brain,1.0
brontosaurus,0.5714285714285714
buddha,0.8461538461538461
butterfly,0.7692307692307693
camera,1.0
cannon,0.5714285714285714
car_side,1.0
ceiling_fan,0.7142857142857143
cellphone,1.0
chair,0.7777777777777778
chandelier,0.75
cougar_body,0.5714285714285714
cougar_face,0.9090909090909091
crab,0.6363636363636364
crayfish,0.9090909090909091
crocodile,0.7142857142857143
crocodile_head,0.5714285714285714
cup,0.875
dalmatian,1.0
dollar_bill,1.0
dolphin,1.0
dragonfly,1.0
electric_guitar,1.0
elephant,1.0
emu,0.875
euphonium,1.0
ewer,1.0
ferry,1.0
flamingo,0.9
flamingo_head,0.8571428571428571
garfield,1.0
gerenuk,0.8
gramophone,1.0
grand_piano,0.9333333333333333
hawksbill,0.9333333333333333
headphone,1.0
hedgehog,1.0
helicopter,0.9230769230769231
ibis,1.0
inline_skate,0.8
joshua_tree,0.9
kangaroo,0.9230769230769231
ketch,0.5882352941176471
lamp,0.7777777777777778
laptop,0.9166666666666666
llama,1.0
lobster,0.8333333333333334
lotus,0.6
mandolin,1.0
mayfly,0.8333333333333334
menorah,0.9230769230769231
metronome,1.0
minaret,0.9090909090909091
nautilus,1.0
octopus,0.6
okapi,1.0
pagoda,0.8571428571428571
panda,1.0
pigeon,1.0
pizza,1.0
platypus,0.8
pyramid,1.0
revolver,0.9230769230769231
rhino,1.0
rooster,1.0
saxophone,0.8333333333333334
schooner,1.0
scissors,1.0
scorpion,0.7692307692307693
sea_horse,0.7777777777777778
snoopy,0.8
soccer_ball,1.0
stapler,0.5714285714285714
starfish,0.8461538461538461
stegosaurus,1.0
stop_sign,1.0
strawberry,1.0
sunflower,0.9230769230769231
tick,1.0
trilobite,1.0
umbrella,0.8181818181818182
watch,0.9722222222222222
water_lilly,0.3333333333333333
wheelchair,0.8888888888888888
wild_cat,0.8
windsor_chair,0.875
wrench,0.6666666666666666
yin_yang,1.0
